"colonyID","ctmin","generation","population"
"F2_14",2,"F2","rural"
"F2_14",2,"F2","rural"
"F2_14",2,"F2","rural"
"F2_14",3,"F2","rural"
"F2_14",3,"F2","rural"
"F2_14",3,"F2","rural"
"F2_14",3,"F2","rural"
"F2_14",3,"F2","rural"
"F2_14",4,"F2","rural"
"F2_14",4,"F2","rural"
"F2_14",4,"F2","rural"
"F2_14",4,"F2","rural"
"F2_14",4,"F2","rural"
"F2_14",5,"F2","rural"
"F2_14",6,"F2","rural"
"F2_17",3,"F2","rural"
"F2_17",3,"F2","rural"
"F2_17",4,"F2","rural"
"F2_17",4,"F2","rural"
"F2_17",5,"F2","rural"
"F2_17",5,"F2","rural"
"F2_17",5,"F2","rural"
"F2_17",5,"F2","rural"
"F2_17",6,"F2","rural"
"F2_17",6,"F2","rural"
"F2_17",6,"F2","rural"
"F2_17",6,"F2","rural"
"F2_18",5,"F2","urban"
"F2_18",5,"F2","urban"
"F2_18",6,"F2","urban"
"F2_18",6,"F2","urban"
"F2_18",7,"F2","urban"
"F2_18",7,"F2","urban"
"F2_18",8,"F2","urban"
"F2_18",8,"F2","urban"
"F2_18",9,"F2","urban"
"F2_23",2,"F2","rural"
"F2_23",2,"F2","rural"
"F2_23",2,"F2","rural"
"F2_23",3,"F2","rural"
"F2_23",3,"F2","rural"
"F2_23",3,"F2","rural"
"F2_23",3,"F2","rural"
"F2_23",3,"F2","rural"
"F2_23",4,"F2","rural"
"F2_23",4,"F2","rural"
"F2_23",5,"F2","rural"
"F2_23",6,"F2","rural"
"F2_24",4,"F2","rural"
"F2_24",4,"F2","rural"
"F2_24",4,"F2","rural"
"F2_24",5,"F2","rural"
"F2_24",5,"F2","rural"
"F2_24",5,"F2","rural"
"F2_24",5,"F2","rural"
"F2_24",5,"F2","rural"
"F2_24",5,"F2","rural"
"F2_24",5,"F2","rural"
"F2_24",5,"F2","rural"
"F2_24",5,"F2","rural"
"F2_24",5,"F2","rural"
"F2_24",5,"F2","rural"
"F2_24",6,"F2","rural"
"F2_24",6,"F2","rural"
"F2_24",6,"F2","rural"
"F2_24",6,"F2","rural"
"F2_24",6,"F2","rural"
"F2_24",6,"F2","rural"
"F2_25",5,"F2","urban"
"F2_25",5,"F2","urban"
"F2_25",5,"F2","urban"
"F2_25",6,"F2","urban"
"F2_25",6,"F2","urban"
"F2_25",7,"F2","urban"
"F2_25",7,"F2","urban"
"F2_7",4,"F2","urban"
"F2_7",4,"F2","urban"
"F2_7",4,"F2","urban"
"F2_7",4,"F2","urban"
"F2_7",5,"F2","urban"
"F2_7",5,"F2","urban"
"F2_7",5,"F2","urban"
"F2_7",5,"F2","urban"
"F2_7",5,"F2","urban"
"F2_7",5,"F2","urban"
"F2_7",5,"F2","urban"
"F2_7",5,"F2","urban"
